dataset,dataset_params,queryset,queryset_params,algorithm,sha,date,git_rev,hostname,conf_file,dataset_version,queryset_version,algorithm_params,algorithm_version,index_size_bytes,is_estimate,queryset_n,dataset_n,time_queries,time_index,total_time,algorithm_wpar,qps,workload_type,start_times_distribution
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,BTree,20b5ce9755b068a15eb8fe7a59c110f88cf2f419332fb408435268faf0ec18a0,2020-09-24T23:19:55Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,4512,2286,6798,BTree.,1108.15602836879,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,grid-file,391ed11d20339a0c3df1464183f7bbf069b4bb234da76890f682bf120dea330f,2020-10-14T14:48:50Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,127772,634,128406,grid-file.side_cells=1000,39.1322042388004,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,interval-tree,d06a070239b2178be5754ae2988c8a5a6b2866bfc47715de112095fd069d0a74,2020-09-24T23:20:56Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,294235,2678,296913,interval-tree.,16.9932197053376,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,period-index++,48aa60482992c1002f21836d83a5b1e7f121312811a2ce18d8b47def6e892e83,2020-10-26T15:29:23Z,f7aeff0,ironmaiden,experiments/all.yml,4,5,page_size=90,15,56,FALSE,5000,10000000,4553,635,5188,period-index++.page_size=90,1098.17702613661,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,period-index-*,c09a747a4dff9814cc14d190a524a4411266f683d81a8973d6f1c3ba00be9f31,2020-10-26T19:44:48Z,61f9058,ironmaiden,experiments/all.yml,4,5,n_buckets=128 max_levels=8,13,11328,FALSE,5000,10000000,118056,6922,124978,period-index-*.n_buckets=128 max_levels=8,42.3527817307041,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,BTree,cd260b63c04ecfea0bb565174bfb2cb00489d9b895a849018482fc0fb726be81,2020-09-25T00:10:38Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,23289,2291,25580,BTree.,214.693632186869,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,grid-file,ca8d7f3aea5a2bb9496548c3c263bd2f31d7c9b3e32145e4e7ce6da5826c6304,2020-10-14T14:57:44Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,130407,726,131133,grid-file.side_cells=1000,38.3415000728488,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,interval-tree,fff2add1d719ecec24d58e380fb3f251bcd951d8d264e07a6ed766f049cc7fdb,2020-09-25T00:16:15Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,304351,2711,307062,interval-tree.,16.4284001038275,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,period-index++,d91ef62561634ef79ad33f14e7ae42f7b4c88835d3209a263c8a4347308501cc,2020-10-26T15:40:22Z,f7aeff0,ironmaiden,experiments/all.yml,4,5,page_size=20,15,56,FALSE,5000,10000000,23450,600,24050,period-index++.page_size=20,213.219616204691,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,period-index-*,43c73d8155e0766a60ecd78665ace0fb1172ba0e9418cfdf70aa102dfb2954f2,2020-10-26T15:33:13Z,f7aeff0,ironmaiden,experiments/all.yml,4,5,n_buckets=64 max_levels=4,13,5696,FALSE,5000,10000000,189564,3697,193261,period-index-*.n_buckets=64 max_levels=4,26.3763161781773,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,BTree,539862e67cb908b179570e6c2d844c46277b988a05f360bb03e3d97e55a0fe56,2020-09-25T01:21:27Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,178,2341,2519,BTree.,28089.8876404494,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,grid-file,10993220c51fec9a2bd41791ace2d2d2048cf2926efc900d087bb2703099da42,2020-10-14T15:04:06Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,49211,655,49866,grid-file.side_cells=1000,101.603300075186,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,interval-tree,ed4175e833f8e9d2ed1350b08b6c06f5006fff7fb77449949a0143344e959dab,2020-09-25T01:21:41Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,291750,2708,294458,interval-tree.,17.1379605826907,duration,clustered
